ano,mes,sigla_uf,id_municipio,quantidade_atendimentos,valor_total_aprovado
2023,10,SP,3549805,3471178,17888839.440000184
2023,10,SP,3504503,119046,1046279.400000001
2023,10,SP,3544004,38815,148188.51
2023,10,SP,3556800,22447,115880.78000000001
2023,10,SP,3540804,19577,124768.01999999997
2023,10,SP,3545308,66433,198910.68000000002
2023,10,SP,3532108,3801,14109.279999999997
2023,10,SP,3510153,2646,16535.480000000003
2021,3,SP,3530508,59440,245006.19999999987
2021,3,SP,3534708,104971,1589591.599999996
2021,3,SP,3516309,156262,980511.7400000007
2021,3,SP,3531100,79696,418558.9299999994
2023,12,SP,3518602,47487,231646.3000000006
2023,12,SP,3551009,386278,2384825.990000001
2023,12,SP,3509106,5617,352.07000000000005
2023,12,SP,3544400,3808,3089.0699999999997
2023,12,SP,3534500,7618,2726.6999999999994
2023,12,SP,3522406,168257,1761547.8799999952
2023,12,SP,3547809,2084145,9552055.839999836
2023,12,SP,3541109,2137,0.0
2021,9,SP,3517406,69256,231367.76000000013
2021,9,SP,3502309,9602,15766.889999999996
2021,9,SP,3551009,341245,2017489.7099999986
2021,9,SP,3509502,4625019,18136891.369999792
2021,9,SP,3541604,43343,687137.1100000002
2021,9,SP,3545159,20918,40944.99000000001
2021,9,SP,3549953,10256,59660.469999999994
2021,9,SP,3537503,714,0.0
2021,9,SP,3501806,2395,9583.0
2021,8,SP,3513405,71037,594693.8900000013
2021,8,SP,3538006,176558,1425710.2099999993
2021,8,SP,3540705,69405,233404.36999999976
2021,8,SP,3520103,34072,91857.99
2021,8,SP,3557154,9503,16253.919999999996
2021,8,SP,3553401,9094,50778.85
2021,8,SP,3509452,827,4933.34
2021,8,SP,3521309,6870,33067.9
2021,8,SP,3521606,1982,1886.6799999999998
2024,2,SP,3549102,1503111,3137314.570000008
2024,2,SP,3555109,39005,100243.20000000001
2024,2,SP,3548500,2360114,9044744.590000117
2024,2,SP,3524709,108958,794820.6599999998
2024,2,SP,3520806,701,5575.780000000002
2024,2,SP,3537909,26880,158662.93999999994
2023,5,SP,3536307,25985,32102.040000000015
2023,5,SP,3500303,86622,227372.64999999924
2023,5,SP,3554409,3984,7058.799999999999
2023,5,SP,3549953,23463,89893.46999999996
2023,1,SP,3507456,3140,4193.969999999999
2023,1,SP,3500907,5332,2272.649999999999
2023,1,SP,3509254,29064,91981.07
2023,1,SP,3555802,7788,40386.78999999999
2023,1,SP,3519808,6388,17063.170000000027
2023,1,SP,3553203,2235,8155.1
2023,1,SP,3524501,8747,115809.90999999999
2023,1,SP,3510906,116,1160.0
2021,4,SP,3548302,48,0.0
2021,1,SP,3522901,24479,78052.39999999998
2021,1,SP,3525102,48593,118574.67
2021,1,SP,3540705,59209,196075.01999999981
2021,1,SP,3535804,13384,38025.630000000005
2021,1,SP,3539103,176,2951.02
2021,1,SP,3552007,2397,16009.29
2021,1,SP,3523800,6444,2190.2100000000005
2023,6,SP,3552403,193586,2009980.8699999952
2023,6,SP,3551702,123654,791336.3100000004
2023,6,SP,3501400,1741,4838.84
2023,6,SP,3553658,8112,969.54
2021,12,SP,3526704,146637,922102.6700000017
2021,12,SP,3529401,343378,1476803.9399999909
2021,12,SP,3512704,7577,11218.959999999997
2021,12,SP,3505401,11299,35841.340000000004
2021,12,SP,3525805,159,669.9399999999999
2021,12,SP,3536257,13827,16226.85
2022,11,SP,3518602,48800,262598.2999999996
2022,11,SP,3522307,136365,1735463.209999999
2022,11,SP,3520202,10494,12680.100000000002
2022,11,SP,3553906,426,7008.89
2022,11,SP,3555356,10144,10313.760000000002
2022,11,SP,3548302,209,462.33000000000004
2021,10,SP,3548005,73400,283519.7299999998
2021,10,SP,3503208,1153277,3527153.4799997653
2021,10,SP,3555406,135197,669365.6800000007
2021,10,SP,3512803,42713,252429.73999999996
2021,10,SP,3525706,44091,100896.35999999997
2021,10,SP,3500600,6069,23991.679999999993
2021,10,SP,3530409,4641,518.32
2021,10,SP,3509908,5016,4025.4300000000003
2021,10,SP,3502002,202,1799.8899999999999
2021,10,SP,3507308,5739,5467.750000000001
2023,10,SP,3549508,2799,0.0
2022,6,SP,3505302,24237,123094.51000000007
2022,6,SP,3512803,53145,332829.3499999999
2022,6,SP,3548708,1948807,7918322.3499998115
2022,6,SP,3542503,3608,13697.390000000001
2022,6,SP,3504909,9686,61119.69
2022,6,SP,3534104,1553,1861.35
2023,11,SP,3545803,248292,1569774.6799999983
2023,11,SP,3537701,12660,8716.279999999999
2023,11,SP,3518305,58261,312979.24999999965
2023,11,SP,3509403,34057,170914.54
2023,11,SP,3544202,7764,49329.030000000006
2023,11,SP,3538501,3441,33721.03
2023,11,SP,3528304,2337,11489.820000000002
2023,11,SP,3500550,7320,16499.56
2023,8,SP,3517901,25297,59111.659999999996
2023,8,SP,3524402,365484,3056843.9300000626
2023,8,SP,3537909,28735,173369.31999999998
2023,8,SP,3510005,58536,303535.56999999995
2023,8,SP,3536802,4983,5267.319999999998
2023,8,SP,3518909,12148,1058.83
2023,8,SP,3505005,63,0.0
2022,8,SP,3556503,75907,485135.44000000006
2022,8,SP,3552007,3652,16548.609999999997
2022,8,SP,3551801,4032,8714.919999999998
2022,8,SP,3519709,177732,591744.3600000001
2022,5,SP,3530300,117691,270986.51
2022,5,SP,3505203,47345,157275.02000000002
2022,5,SP,3530102,40427,205287.40999999997
2022,5,SP,3545803,325262,1800545.1699999974
2022,5,SP,3541109,6385,0.0
2022,5,SP,3509809,14223,9042.950000000003
2022,5,SP,3524808,77738,1924858.5199999998
2022,5,SP,3531001,1110,5024.530000000001
2022,5,SP,3528304,1164,7911.7699999999995
2022,5,SP,3553856,8409,23588.9
2022,3,SP,3522307,132632,1115890.6000000015
2022,3,SP,3507506,1412208,5751580.590000005
2022,3,SP,3539301,67603,326511.11999999976
2022,3,SP,3521705,28693,72277.41
2022,3,SP,3547650,2022,8115.780000000001
2022,3,SP,3534104,7273,7154.889999999999
2022,3,SP,3508900,370,4673.14
2022,3,SP,3546256,933,1730.0
2021,6,SP,3554953,110,0.0
2023,2,SP,3507001,91249,395273.6700000001
2023,2,SP,3553708,67956,620745.9800000011
2023,2,SP,3513900,42543,589330.7699999996
2023,2,SP,3540200,25953,160327.81000000003
2023,2,SP,3539509,27377,123803.03
2023,2,SP,3508009,22004,104320.95999999998
2023,2,SP,3547601,17678,66927.43
2023,2,SP,3504909,10920,60337.66
2023,2,SP,3523503,10152,76602.67000000006
2023,2,SP,3544103,9774,54855.190000000075
2023,2,SP,3533254,9372,6384.19
2023,2,SP,3519055,7804,4695.28
2022,11,SP,3540259,7,0.0
2022,5,SP,3540259,4,0.0
2022,7,SP,3509106,6873,191.06
2022,7,SP,3513504,150152,936581.6500000017
2022,7,SP,3543204,9454,2996.62
2022,7,SP,3536802,4708,5494.559999999998
2022,7,SP,3552700,11442,49507.689999999995
2022,7,SP,3502309,12252,25044.92
2022,7,SP,3547601,24610,83985.32
2022,7,SP,3555901,3951,104.30999999999999
2022,7,SP,3533304,5379,2489.16
2022,7,SP,3519253,1159,0.0
2022,2,SP,3517802,16698,13553.369999999999
2022,2,SP,3551504,47848,302950.5899999999
2022,2,SP,3553005,31307,67419.31
2022,2,SP,3547809,1650724,6627102.379999904
2022,2,SP,3556404,32481,35514.97
2022,2,SP,3521101,14785,59488.46000000001
2023,4,SP,3556503,39018,288224.33999999985
2023,4,SP,3533502,72434,178918.51999999973
2023,4,SP,3553005,46575,118765.90999999976
2023,4,SP,3515202,9259,52134.23
2023,4,SP,3527504,5084,2270.3199999999997
2023,4,SP,3543253,1090,4871.74
2022,9,SP,3513702,42971,185891.75000000052
2022,9,SP,3554300,39719,143698.84000000003
2022,9,SP,3520806,8815,7141.700000000001
2022,9,SP,3509254,31988,105112.87000000002
2022,9,SP,3501152,16758,79396.31
2022,9,SP,3551801,7578,14822.28
2022,9,SP,3512100,10033,21644.24
2023,8,SP,3543238,1277,77.25
2021,5,SP,3516705,69819,132526.21000000002
2021,5,SP,3520426,11193,28027.36
2021,5,SP,3535408,12690,31135.85999999997
2021,5,SP,3537404,10883,63249.28999999999
2021,5,SP,3522802,19537,34653.59
2021,5,SP,3512308,65925,94306.51999999999
2021,5,SP,3505401,11228,37235.45
2022,10,SP,3533502,66790,194012.55999999976
2022,10,SP,3525300,188555,6039443.69000002
2022,10,SP,3556453,35954,138211.16
2022,10,SP,3545001,12853,82439.44
2022,10,SP,3519907,15132,49646.28999999999
2022,10,SP,3546801,59112,312121.84
2022,10,SP,3537701,9734,8045.289999999993
2022,10,SP,3511904,4884,23969.56
2022,10,SP,3514924,732,5722.500000000002
2022,10,SP,3514304,6897,0.0
2022,10,SP,3526308,1229,8691.7
2023,9,SP,3539202,24601,76953.69000000005
2023,9,SP,3521309,11893,50496.13000000001
2023,9,SP,3503703,17535,48254.34999999996
2023,9,SP,3535002,28637,41034.26999999999
2023,9,SP,3554904,3339,19502.859999999993
2022,10,SP,3534500,23,0.0
2023,10,SP,3510104,20,0.0
2022,4,SP,3507753,3276,2962.83
2022,4,SP,3547304,332626,2195135.5899999947
2022,4,SP,3512803,52030,304975.8
2022,4,SP,3530904,5898,8629.579999999998
2022,4,SP,3544400,3991,0.0
2022,4,SP,3524204,16817,31245.65999999999
2022,12,SP,3505302,23300,97943.52999999994
2022,12,SP,3504206,34349,102806.58999999959
2022,12,SP,3524204,16843,32045.95000000003
2022,12,SP,3502002,8590,8310.86
2022,12,SP,3528858,7307,6698.490000000006
2022,12,SP,3515129,265,4106.849999999999
2022,12,SP,3518859,7950,58036.379999999896
2022,12,SP,3518008,3355,18564.259999999984
2022,12,SP,3536406,4492,28651.619999999995
2024,7,SP,3547601,23489,75240.55
2024,7,SP,3551801,10308,47398.51999999999
2024,7,SP,3507209,673,4797.8
2024,7,SP,3554755,571,4355.699999999999
2024,7,SP,3553401,12235,48719.58000000001
2024,7,SP,3556958,339,1014.6999999999999
2024,6,SP,3518602,63308,313168.76000000193
2024,6,SP,3547106,7908,16349.879999999994
2024,6,SP,3547700,19102,92221.39
2024,6,SP,3500758,17575,25375.810000000005
