ano,mes,sigla_uf,id_municipio,id_estabelecimento_cnes,tipo_unidade,id_natureza_juridica,quantidade_leito_cirurgico,quantidade_leito_clinico,quantidade_leito_complementar,indicador_atencao_ambulatorial
2024,1,SP,3544103,7215207,2,1244,0,0,0,1
2024,1,SP,3548708,2037513,2,1244,0,0,0,1
2024,1,SP,3548708,2045370,2,1244,0,0,0,1
2024,1,SP,3548708,2037343,2,1244,0,0,0,1
2024,1,SP,3513801,2801191,2,1244,0,0,0,1
2024,1,SP,3548500,2050064,2,1244,0,0,0,1
2024,1,SP,3548500,2054205,2,1244,0,0,0,1
2024,1,SP,3548500,2062364,2,1244,0,0,0,1
2024,1,SP,3506359,2059681,2,1244,0,0,0,1
2024,1,SP,3551009,5166594,2,1244,0,0,0,1
2024,1,SP,3551009,2040492,2,1244,0,0,0,1
2024,1,SP,3518701,2754851,2,1244,0,0,0,1
2024,1,SP,3518701,2060183,2,1244,0,0,0,1
2024,1,SP,3518701,7039972,2,1244,0,0,0,1
2024,1,SP,3513504,3381439,2,1244,0,0,0,1
2024,1,SP,3513504,7705263,2,1244,0,0,0,1
2024,1,SP,3550704,2765845,2,1244,0,0,0,1
2024,1,SP,3550704,8003815,2,1244,0,0,0,1
2024,1,SP,3550704,2765772,2,1244,0,0,0,1
2024,1,SP,3550704,9702652,2,1244,0,0,0,1
2024,1,SP,3555406,2070065,2,1244,0,0,0,1
2024,1,SP,3555406,6825508,2,1244,0,0,0,1
2024,1,SP,3555406,2069997,2,1244,0,0,0,1
2024,1,SP,3541000,7965109,2,1244,0,0,0,1
2024,1,SP,3541000,7420021,2,1244,0,0,0,1
2024,1,SP,3541000,3042294,2,1244,0,0,0,1
2024,1,SP,3541000,4049292,2,1244,0,0,0,1
2024,1,SP,3541000,4049357,2,1244,0,0,0,1
2024,1,SP,3531100,9190600,2,1244,0,0,0,1
2024,1,SP,3531100,3310221,2,1244,0,0,0,1
2024,1,SP,3523305,2042398,2,1244,0,0,0,1
2024,1,SP,3537602,0413933,2,1244,0,0,0,1
2024,1,SP,3537206,2749505,2,1244,0,0,0,1
2024,1,SP,3526100,9567658,2,1244,0,0,0,1
2024,1,SP,3526100,2041855,2,1244,0,0,0,1
2024,1,SP,3529906,2041391,2,1244,0,0,0,1
2024,1,SP,3529906,9089845,2,1244,0,0,0,1
2024,1,SP,3542602,3195201,2,1244,0,0,0,1
2024,1,SP,3551801,2041928,2,1244,0,0,0,1
2024,1,SP,3520426,9436588,2,1244,0,0,0,1
2024,1,SP,3536208,2041669,2,1244,0,0,0,1
2024,1,SP,3536208,2042150,2,1244,0,0,0,1
2024,1,SP,3509254,6618367,2,1244,0,0,0,1
2024,1,SP,3514809,0970298,2,1244,0,0,0,1
2024,1,SP,3514809,0970301,2,1244,0,0,0,1
2024,1,SP,3514809,9426388,2,1244,0,0,0,1
2024,1,SP,3509908,6219373,2,1244,0,0,0,1
2024,1,SP,3509908,6219381,2,1244,0,0,0,1
2024,1,SP,3509908,2081822,2,1244,0,0,0,1
2024,1,SP,3509908,2041766,2,1244,0,0,0,1
2024,1,SP,3554102,2036576,2,1244,0,0,0,1
2024,1,SP,3554805,2088371,2,1244,0,0,0,1
2024,1,SP,3549904,0009237,2,1244,0,0,0,1
2024,1,SP,3549904,0009202,2,1244,0,0,0,1
2024,1,SP,3508504,9424997,2,1244,0,0,0,1
2024,1,SP,3538006,5438705,2,1244,0,0,0,1
2024,1,SP,3538006,0214353,2,1244,0,0,0,1
2024,1,SP,3538006,9279806,2,1244,0,0,0,1
2024,1,SP,3509700,4209915,2,1244,0,0,0,1
2024,1,SP,3540754,0918113,2,1244,0,0,0,1
2024,1,SP,3513603,6507204,2,1244,0,0,0,1
2024,1,SP,3502507,2040220,2,1244,0,0,0,1
2024,1,SP,3527207,2046334,2,1244,0,0,0,1
2024,1,SP,3526605,2059827,2,1244,0,0,0,1
2024,1,SP,3507605,2688409,2,1244,0,0,0,1
2024,1,SP,3507605,2688050,2,1244,0,0,0,1
2024,1,SP,3507605,3403939,2,1244,0,0,0,1
2024,1,SP,3507605,2688069,2,1244,0,0,0,1
2024,1,SP,3504107,2067404,2,1244,0,0,0,1
2024,1,SP,3536802,9010300,2,1244,0,0,0,1
2024,1,SP,3509502,2022672,2,1244,0,0,0,1
2024,1,SP,3509502,2023202,2,1244,0,0,0,1
2024,1,SP,3509502,2022915,2,1244,0,0,0,1
2024,1,SP,3509502,6032338,2,1244,0,0,0,1
2024,1,SP,3509502,2023369,2,1244,0,0,0,1
2024,1,SP,3509502,0411191,2,1244,0,0,0,1
2024,1,SP,3509502,2022842,2,1244,0,0,0,1
2024,1,SP,3509502,3950220,2,1244,0,0,0,1
2024,1,SP,3509502,2022699,2,1244,0,0,0,1
2024,1,SP,3509502,2023318,2,1244,0,0,0,1
2024,1,SP,3512803,6007503,2,1244,0,0,0,1
2024,1,SP,3512803,2023660,2,1244,0,0,0,1
2024,1,SP,3503802,2750031,2,1244,0,0,0,1
2024,1,SP,3552403,6304753,2,1244,0,0,0,1
2024,1,SP,3552403,2050471,2,1244,0,0,0,1
2024,1,SP,3552403,6012604,2,1244,0,0,0,1
2024,1,SP,3519071,2070081,2,1244,0,0,0,1
2024,1,SP,3519071,3445313,2,1244,0,0,0,1
2024,1,SP,3525904,7269021,2,1244,0,0,0,1
2024,1,SP,3525904,2705257,2,1244,0,0,0,1
2024,1,SP,3525904,2701405,2,1244,0,0,0,1
2024,1,SP,3525904,2704846,2,1244,0,0,0,1
2024,1,SP,3556503,2071193,2,1244,0,0,0,1
2024,1,SP,3556503,7096976,2,1244,0,0,0,1
2024,1,SP,3509601,9042962,2,1244,0,0,0,1
2024,1,SP,3523404,3806367,2,1244,0,0,0,1
2024,1,SP,3523404,2023296,2,1244,0,0,0,1
