id_municipio,nome_municipio,qtd_atendimentos_periodo,populacao,APC
3530508,MOCOCA,3475669.0,69324,50.13659050256766
3530607,MOGI DAS CRUZES,47126642.0,468120,100.67213962231907
3530706,MOGI GUACU,5022748.0,159735,31.444254546592795
3530805,MOGI MIRIM,4964976.0,95534,51.97077480268805
3530904,MOMBUCA,241277.0,3815,63.24429882044561
3531001,MONCOES,24536.0,1954,12.556806550665302
3531100,MONGAGUA,3729006.0,64519,57.797021032564054
3531209,MONTE ALEGRE DO SUL,752933.0,8873,84.85664375070438
3531308,MONTE ALTO,4578024.0,48725,93.95636736788096
3531407,MONTE APRAZIVEL,558282.0,22650,24.6482119205298
3531506,MONTE AZUL PAULISTA,1602950.0,18363,87.29238141915809
3531605,MONTE CASTELO,462459.0,4301,107.52359916298535
3531704,MONTEIRO LOBATO,145805.0,4205,34.67419738406659
3531803,MONTE MOR,2589188.0,67296,38.47461959106039
3531902,MORRO AGUDO,2102601.0,28561,73.61790553552046
3532009,MORUNGABA,910601.0,14081,64.66877352460763
3532058,MOTUCA,222129.0,4079,54.45672959058593
3532108,MURUTINGA DO SUL,135237.0,3763,35.938612808929044
3532157,NANTES,15464.0,2699,5.729529455353835
3532207,NARANDIBA,462006.0,5908,78.20006770480704
3532306,NATIVIDADE DA SERRA,45655.0,7134,6.399635548079619
3532405,NAZARE PAULISTA,687692.0,18620,36.93297529538131
3532504,NEVES PAULISTA,340959.0,9921,34.36740247958875
3532603,NHANDEARA,479923.0,9944,48.262570394207565
3532702,NIPOA,346171.0,4860,71.22860082304527
3532801,NOVA ALIANCA,275588.0,6858,40.1848935549723
3532827,NOVA CAMPINA,889002.0,8631,103.00104275286758
3532843,NOVA CANAA PAULISTA,154580.0,2058,75.11175898931
3532868,NOVA CASTILHO,85519.0,1074,79.6266294227188
3532900,NOVA EUROPA,301062.0,9459,31.828100222010782
3533007,NOVA GRANADA,998743.0,19725,50.63335868187579
3533106,NOVA GUATAPORANGA,108454.0,2188,49.56764168190128
3533205,NOVA INDEPENDENCIA,1513.0,4795,0.31553701772679876
3533254,NOVAIS,361206.0,4469,80.8247930185724
3533304,NOVA LUZITANIA,233291.0,2838,82.20260747004933
3533403,NOVA ODESSA,2976441.0,64228,46.34179796973282
3533502,NOVO HORIZONTE,3011315.0,39435,76.36148091796628
3533601,NUPORANGA,331205.0,7550,43.8682119205298
3533700,OCAUCU,5482.0,4412,1.2425203989120581
3533809,OLEO,66939.0,2540,26.353937007874016
3533908,OLIMPIA,8239118.0,56701,145.30816034990565
3534005,ONDA VERDE,310868.0,4912,63.28745928338762
3534104,ORIENTE,664253.0,6180,107.48430420711973
3534203,ORINDIUVA,304207.0,6145,49.50480065093572
3534302,ORLANDIA,761712.0,39193,19.434899089123057
3534401,OSASCO,113413818.0,756952,149.82960346230672
3534500,OSCAR BRESSANE,261607.0,2504,104.47563897763578
3534609,OSVALDO CRUZ,1104230.0,32099,34.400760148291226
3534708,OURINHOS,5869051.0,106877,54.91406944431449
3534757,OUROESTE,901179.0,10596,85.04898074745186
3534807,OURO VERDE,128558.0,7901,16.271104923427416
3534906,PACAEMBU,775774.0,15217,50.98074521916278
3535002,PALESTINA,984145.0,11689,84.19411412439045
3535101,PALMARES PAULISTA,660536.0,9709,68.03337109898033
3535200,PALMEIRA D'OESTE,292409.0,8994,32.51156326439849
3535309,PALMITAL,2072206.0,19767,104.83158800020236
3535408,PANORAMA,379195.0,15214,24.92408308137242
3535507,PARAGUACU PAULISTA,1335215.0,42087,31.725117019507213
3535606,PARAIBUNA,381072.0,17950,21.22963788300836
3535705,PARAISO,383736.0,6211,61.78328771534375
3535804,PARANAPANEMA,732522.0,19799,36.997929188342844
3535903,PARANAPUA,34871.0,4111,8.482364388226708
3536000,PARAPUA,26160.0,10729,2.4382514679839686
3536109,PARDINHO,241452.0,7382,32.70820915740992
3536208,PARIQUERA-ACU,2903602.0,19576,148.32458111973847
3536257,PARISI,743632.0,3001,247.7947350883039
3536307,PATROCINIO PAULISTA,894224.0,14837,60.26986587585091
3536406,PAULICEIA,115177.0,8200,14.045975609756098
3536505,PAULINIA,6604571.0,115690,57.08852104762728
3536570,PAULISTANIA,11022.0,2146,5.136067101584343
3536604,PAULO DE FARIA,462525.0,7430,62.25100942126514
3536703,PEDERNEIRAS,2670801.0,46223,57.78078013110356
3536802,PEDRA BELA,161106.0,6718,23.981244417981543
3536901,PEDRANOPOLIS,911.0,2848,0.319873595505618
3537008,PEDREGULHO,297660.0,15742,18.908652013721255
3537107,PEDREIRA,3120519.0,44332,70.38976360191283
3537156,PEDRINHAS PAULISTA,496092.0,2838,174.80338266384777
3537206,PEDRO DE TOLEDO,544324.0,11539,47.17254528122021
3537305,PENAPOLIS,4074724.0,63317,64.35434401503545
3537404,PEREIRA BARRETO,562371.0,24389,23.058386977735864
3537503,PEREIRAS,133313.0,8969,14.863752926747686
3537602,PERUIBE,4779938.0,70543,67.75921069418652
3537701,PIACATU,524187.0,5623,93.2219455806509
3537800,PIEDADE,1049929.0,54237,19.35816877777163
3537909,PILAR DO SUL,1219121.0,28417,42.9011155294366
3538006,PINDAMONHANGABA,10491346.0,172027,60.98662419271393
3538105,PINDORAMA,371168.0,14721,25.213504517356156
3538204,PINHALZINHO,1079006.0,15605,69.1448894585069
3538303,PIQUEROBI,261405.0,3296,79.30976941747574
3538501,PIQUETE,202761.0,12570,16.13054892601432
3538600,PIRACAIA,745615.0,26764,27.858877596771784
3538709,PIRACICABA,83268981.0,438827,189.7535498043648
3538808,PIRAJU,895294.0,30261,29.585737417798487
3538907,PIRAJUI,620882.0,22743,27.299916457811193
3539004,PIRANGI,483161.0,11076,43.62233658360419
3539103,PIRAPORA DO BOM JESUS,785779.0,18836,41.71687194733489
3539202,PIRAPOZINHO,964492.0,26065,37.003337809322844
3539301,PIRASSUNUNGA,3754906.0,75475,49.750327923153364
3539400,PIRATININGA,699302.0,15554,44.95962453388196
3539509,PITANGUEIRAS,2728482.0,34416,79.2794630404463
3539608,PLANALTO,157649.0,4454,35.39492590929502
3539707,PLATINA,217170.0,3061,70.94740280953937
3539806,POA,4138841.0,106431,38.88755155922617
3539905,POLONI,582035.0,5696,102.18311095505618
