id_municipio,ano,qtd_estabelecimentos,total_leitos,qtd_profissionais,populacao,EPC,PPC
3503307,2024,347,238,2811,135331,2.5640836172052226,20.77129408635124
3503356,2021,2,0,30,1755,1.1396011396011396,17.094017094017097
3503356,2022,2,0,30,2044,0.9784735812133072,14.677103718199607
3503356,2023,2,0,29,2044,0.9784735812133072,14.187866927592955
3503356,2024,2,0,26,2085,0.9592326139088729,12.470023980815348
3503406,2021,14,27,129,8665,1.6156953260242355,14.887478361223312
3503406,2022,14,27,129,8130,1.7220172201722017,15.867158671586717
3503406,2023,13,27,135,8130,1.5990159901599017,16.605166051660518
3503406,2024,13,27,146,8280,1.5700483091787438,17.632850241545892
3503505,2021,5,0,70,3906,1.2800819252432156,17.921146953405017
3503505,2022,5,0,68,3577,1.397819401733296,19.010343863572828
3503505,2023,5,0,69,3577,1.397819401733296,19.289907743919485
3503505,2024,5,0,77,3625,1.379310344827586,21.24137931034483
3503604,2021,14,0,124,11186,1.2515644555694618,11.085285177900948
3503604,2022,14,0,115,10130,1.3820335636722605,11.352418558736426
3503604,2023,12,0,128,10130,1.1846001974333662,12.635735439289238
3503604,2024,15,0,139,10257,1.4624159110851127,13.551720776055376
3503703,2021,14,0,117,9851,1.4211755151761243,11.876966805400468
3503703,2022,16,0,129,7602,2.104709287029729,16.96921862667719
3503703,2023,13,0,152,7602,1.7100762957116549,19.994738226782424
3503703,2024,17,0,168,7653,2.2213511041421667,21.95217561740494
3503802,2021,89,35,629,56247,1.5823066119081908,11.182818639216315
3503802,2022,94,95,694,51456,1.8268034825870647,13.487251243781095
3503802,2023,73,8,494,51456,1.4186878109452736,9.600435323383085
3503802,2024,102,8,584,53157,1.9188441785653818,10.986323532178265
3503901,2021,59,91,1037,92453,0.6381620931716656,11.216510010491819
3503901,2022,68,100,1287,86678,0.7845127944807218,14.84805833083366
3503901,2023,69,20,1322,86678,0.7960497473407323,15.251851680934031
3503901,2024,72,20,1442,89943,0.800506987758914,16.032376060393805
3503950,2021,2,0,46,1815,1.1019283746556472,25.344352617079892
3503950,2022,2,0,48,1842,1.0857763300760044,26.058631921824105
3503950,2023,2,0,46,1842,1.0857763300760044,24.9728555917481
3503950,2024,2,0,64,1873,1.0678056593699945,34.169781099839824
3504008,2021,434,256,2630,105768,4.103320475001891,24.865743892292567
3504008,2022,458,304,2690,101409,4.516364425248253,26.526245205060693
3504008,2023,487,248,2758,101409,4.802335098462661,27.19679712846
3504008,2024,539,248,2962,104642,5.150895433955773,28.30603390607978
3504107,2021,334,160,3423,145378,2.297459037818652,23.545515827704328
3504107,2022,380,160,3431,158647,2.3952548740285033,21.626630191557357
3504107,2023,406,160,3664,158647,2.559140733830454,23.095299627474837
3504107,2024,432,163,3937,166043,2.60173569497058,23.71072553495179
3504206,2021,31,32,206,15316,2.0240271611386786,13.449986941760251
3504206,2022,29,35,205,13692,2.1180251241600936,14.972246567338592
3504206,2023,32,30,207,13692,2.3371311714869996,15.118317265556529
