ano,sigla_uf,id_municipio,populacao
2021,SP,3539509,40430
2021,SP,3539608,5370
2021,SP,3539707,3606
2021,SP,3539806,119221
2021,SP,3539905,6166
2021,SP,3540002,22326
2021,SP,3540101,3385
2021,SP,3540200,51717
2021,SP,3540259,4719
2021,SP,3540309,2576
2021,SP,3540408,4136
2021,SP,3540507,10205
2021,SP,3540606,53698
2021,SP,3540705,56848
2021,SP,3540754,25603
2021,SP,3540804,17668
2021,SP,3540853,4327
2021,SP,3540903,22239
2021,SP,3541000,336454
2021,SP,3541059,5371
2021,SP,3541109,4067
2021,SP,3541208,12943
2021,SP,3541307,44572
2021,SP,3541406,231953
2021,SP,3541505,39648
2021,SP,3541604,41211
2021,SP,3541653,3902
2021,SP,3541703,14309
2021,SP,3541802,3513
2021,SP,3541901,13788
2021,SP,3542008,6736
2021,SP,3542107,9126
2021,SP,3542206,29743
2021,SP,3542305,3827
2021,SP,3542404,20523
2021,SP,3542503,10047
2021,SP,3542602,56463
2021,SP,3542701,7762
2021,SP,3542800,3320
2021,SP,3542909,13376
2021,SP,3543006,15984
2021,SP,3543105,4786
2021,SP,3543204,4537
2021,SP,3543238,2222
2021,SP,3543253,7686
2021,SP,3543303,125238
2021,SP,3543402,720116
2021,SP,3543501,5364
2021,SP,3543600,3651
2021,SP,3543709,10824
2021,SP,3543808,9940
2021,SP,3543907,209548
2021,SP,3544004,36233
2021,SP,3544103,52009
2021,SP,3544202,12856
2021,SP,3544251,15929
2021,SP,3544301,10888
2021,SP,3544400,3195
2021,SP,3544509,3191
2021,SP,3544608,5638
2021,SP,3544707,2427
2021,SP,3544806,6481
2021,SP,3544905,12103
2021,SP,3545001,17363
2021,SP,3545100,5372
2021,SP,3545159,8498
2021,SP,3545209,120779
2021,SP,3545308,46285
2021,SP,3545407,9396
2021,SP,3545506,4405
2021,SP,3545605,15639
2021,SP,3545704,6036
2021,SP,3545803,195278
2021,SP,3546009,14925
2021,SP,3546108,2111
2021,SP,3546207,4584
2021,SP,3546256,2166
2021,SP,3546306,35102
2021,SP,3546405,48207
2021,SP,3546504,5577
2021,SP,3546603,32796
2021,SP,3546702,27850
2021,SP,3546801,58529
2021,SP,3546900,8889
2021,SP,3547007,6298
2021,SP,3547106,2947
2021,SP,3547205,1448
2021,SP,3547304,145073
2021,SP,3547403,2476
2021,SP,3547502,27641
2021,SP,3547601,26960
2021,SP,3547650,1558
2021,SP,3547700,20855
2021,SP,3547809,723889
2021,SP,3547908,7024
2021,SP,3548005,23742
2021,SP,3548054,8541
2021,SP,3548104,5926
2021,SP,3548203,6843
2021,SP,3548302,3159
2021,SP,3548401,4856
2021,SP,3548500,433991
2021,SP,3548609,10907
2021,SP,3548708,849874
2021,SP,3548807,162763
2021,SP,3548906,256915
2021,SP,3549003,2813
2021,SP,3549102,92315
2021,SP,3549201,2555
2021,SP,3549250,1942
2021,SP,3549300,2095
2021,SP,3549409,52737
2021,SP,3549508,8991
2021,SP,3549607,4141
2021,SP,3549706,55298
2021,SP,3549805,469173
2021,SP,3549904,737310
2021,SP,3549953,16127
2021,SP,3550001,10693
2021,SP,3550100,41287
2021,SP,3550209,33071
2021,SP,3550308,12396372
2021,SP,3550407,36298
2021,SP,3550506,7724
2021,SP,3550605,93076
2021,SP,3550704,91637
2021,SP,3550803,12137
2021,SP,3550902,15446
2021,SP,3551009,370839
2021,SP,3551108,10493
2021,SP,3551207,3623
2021,SP,3551306,3595
2021,SP,3551405,15292
2021,SP,3551504,46166
2021,SP,3551603,29669
2021,SP,3551702,128432
2021,SP,3551801,12731
2021,SP,3551900,17820
2021,SP,3552007,6375
2021,SP,3552106,41690
2021,SP,3552205,695328
2021,SP,3552304,7738
2021,SP,3552403,289875
2021,SP,3552502,303397
2021,SP,3552551,4063
2021,SP,3552601,12561
2021,SP,3552700,16787
2021,SP,3552809,297528
2021,SP,3552908,6371
2021,SP,3553005,14415
2021,SP,3553104,6346
2021,SP,3553203,5562
2021,SP,3553302,23255
2021,SP,3553401,26231
2021,SP,3553500,7725
2021,SP,3553609,12940
2021,SP,3553658,2815
2021,SP,3553708,57547
2021,SP,3553807,23292
2021,SP,3553856,5968
2021,SP,3553906,7609
2021,SP,3553955,15361
2021,SP,3554003,124134
2021,SP,3554102,320820
2021,SP,3554201,4452
2021,SP,3554300,23395
2021,SP,3554409,9502
2021,SP,3554508,42946
2021,SP,3554607,2647
2021,SP,3554656,2432
2021,SP,3554706,10100
2021,SP,3554755,1752
2021,SP,3554805,48228
2021,SP,3554904,5856
2021,SP,3554953,7058
2021,SP,3555000,65615
2021,SP,3555109,15670
2021,SP,3555208,2024
2021,SP,3555307,1667
2021,SP,3555356,6488
2021,SP,3555406,92819
2021,SP,3555505,4828
2021,SP,3555604,10191
2021,SP,3555703,1886
2021,SP,3555802,9125
2021,SP,3555901,1142
2021,SP,3556008,13965
2021,SP,3556107,13732
2021,SP,3556206,133169
2021,SP,3556305,27154
2021,SP,3556354,10842
2021,SP,3556404,43368
2021,SP,3556453,54315
2021,SP,3556503,124269
2021,SP,3556602,10804
2021,SP,3556701,81516
2021,SP,3556800,19133
2021,SP,3556909,9163
2021,SP,3556958,1852
2021,SP,3557006,124468
2021,SP,3557105,96106
2021,SP,3557154,2784
2021,SP,3557204,12418
2021,SP,3557303,11507
2022,SP,3500105,34687
2022,SP,3500204,4351
2022,SP,3500303,32072
2022,SP,3500402,7369
2022,SP,3500501,17930
2022,SP,3500550,7177
2022,SP,3500600,2780
2022,SP,3500709,37680
2022,SP,3500758,6141
2022,SP,3500808,4445
2022,SP,3500907,3451
2022,SP,3501004,16818
2022,SP,3501103,3841
2022,SP,3501152,17301
2022,SP,3501202,3915
2022,SP,3501301,27255
2022,SP,3501400,4808
2022,SP,3501509,2885
2022,SP,3501608,237240
2022,SP,3501707,33019
2022,SP,3501806,5870
2022,SP,3501905,68008
2022,SP,3502002,4589
2022,SP,3502101,59783
2022,SP,3502200,24022
2022,SP,3502309,5674
2022,SP,3502408,4023
2022,SP,3502507,32569
2022,SP,3502606,4086
2022,SP,3502705,24585
2022,SP,3502754,21522
2022,SP,3502804,200124
2022,SP,3502903,32443
2022,SP,3503000,5420
2022,SP,3503109,6885
2022,SP,3503158,2330
2022,SP,3503208,242228
2022,SP,3503307,130866
2022,SP,3503356,2044
2022,SP,3503406,8130
2022,SP,3503505,3577
2022,SP,3503604,10130
2022,SP,3503703,7602
2022,SP,3503802,51456
2022,SP,3503901,86678
2022,SP,3503950,1842
2022,SP,3504008,101409
2022,SP,3504107,158647
2022,SP,3504206,13692
2022,SP,3504305,4483
2022,SP,3504404,11263
2022,SP,3504503,92805
2022,SP,3504602,27260
2022,SP,3504701,3887
2022,SP,3504800,9596
2022,SP,3504909,9969
2022,SP,3505005,3531
2022,SP,3505104,5640
2022,SP,3505203,31595
2022,SP,3505302,34346
2022,SP,3505351,5179
2022,SP,3505401,6876
2022,SP,3505500,122485
2022,SP,3505609,32092
2022,SP,3505708,316473
2022,SP,3505807,21503
2022,SP,3505906,58402
2022,SP,3506003,379146
2022,SP,3506102,76373
2022,SP,3506201,2606
2022,SP,3506300,11607
2022,SP,3506359,64188
2022,SP,3506409,7319
2022,SP,3506508,118979
2022,SP,3506607,29683
2022,SP,3506706,12978
2022,SP,3506805,11259
2022,SP,3506904,10460
2022,SP,3507001,61081
2022,SP,3507100,22006
2022,SP,3507159,3555
2022,SP,3507209,907
2022,SP,3507308,4715
2022,SP,3507407,14226
2022,SP,3507456,2713
2022,SP,3507506,145155
2022,SP,3507605,176811
2022,SP,3507704,5356
2022,SP,3507753,2565
2022,SP,3507803,25201
2022,SP,3507902,23898
2022,SP,3508009,20250
2022,SP,3508108,17210
2022,SP,3508207,4356
2022,SP,3508306,4299
2022,SP,3508405,47011
2022,SP,3508504,96202
2022,SP,3508603,31564
2022,SP,3508702,17101
2022,SP,3508801,16654
2022,SP,3508900,3712
2022,SP,3509007,95032
2022,SP,3509106,5466
2022,SP,3509205,92689
2022,SP,3509254,28515
2022,SP,3509304,9133
2022,SP,3509403,23830
2022,SP,3509452,5954
2022,SP,3509502,1139047
2022,SP,3509601,77632
2022,SP,3509700,46974
2022,SP,3509809,4888
2022,SP,3509908,12289
2022,SP,3509957,4931
2022,SP,3510005,29449
2022,SP,3510104,2889
2022,SP,3510153,6283
2022,SP,3510203,46337
2022,SP,3510302,22866
2022,SP,3510401,50068
2022,SP,3510500,134873
2022,SP,3510609,386984
2022,SP,3510708,11345
2022,SP,3510807,28083
2022,SP,3510906,2799
2022,SP,3511003,19977
2022,SP,3511102,115791
2022,SP,3511201,7003
2022,SP,3511300,12618
2022,SP,3511409,21469
2022,SP,3511508,44695
2022,SP,3511607,19048
2022,SP,3511706,15535
2022,SP,3511904,6982
2022,SP,3512001,18486
2022,SP,3512100,6629
2022,SP,3512209,28101
2022,SP,3512308,15232
2022,SP,3512407,24514
2022,SP,3512506,5400
2022,SP,3512605,4280
2022,SP,3512704,4195
2022,SP,3512803,59773
2022,SP,3512902,8719
2022,SP,3513009,274413
2022,SP,3513108,33281
2022,SP,3513207,9272
2022,SP,3513306,2108
2022,SP,3513405,74961
2022,SP,3513504,112476
2022,SP,3513603,22110
2022,SP,3513702,31756
2022,SP,3513801,393237
2022,SP,3513850,1620
2022,SP,3513900,11158
2022,SP,3514007,8759
2022,SP,3514106,24510
2022,SP,3514205,2207
2022,SP,3514304,8096
2022,SP,3514403,45474
2022,SP,3514502,12328
2022,SP,3514601,9471
2022,SP,3514700,6205
2022,SP,3514809,13069
2022,SP,3514908,17699
2022,SP,3514924,3138
2022,SP,3514957,2323
2022,SP,3515004,250691
2022,SP,3515103,66970
2022,SP,3515129,3014
2022,SP,3515152,19566
2022,SP,3515186,39816
2022,SP,3515194,4157
2022,SP,3515202,9417
2022,SP,3515301,2703
2022,SP,3515350,7924
2022,SP,3515400,16641
2022,SP,3515509,71186
2022,SP,3515608,5942
2022,SP,3515657,1656
2022,SP,3515707,179198
2022,SP,3515806,1487
2022,SP,3515905,2733
2022,SP,3516002,12958
2022,SP,3516101,3851
2022,SP,3516200,352536
2022,SP,3516309,165139
2022,SP,3516408,144849
2022,SP,3516507,2763
2022,SP,3516606,6380
2022,SP,3516705,42110
2022,SP,3516804,3252
2022,SP,3516853,4702
2022,SP,3516903,10312
2022,SP,3517000,10232
2022,SP,3517109,4138
2022,SP,3517208,11239
2022,SP,3517307,5512
2022,SP,3517406,39279
2022,SP,3517505,21711
2022,SP,3517604,17071
2022,SP,3517703,18606
2022,SP,3517802,7441
2022,SP,3517901,10350
2022,SP,3518008,1968
2022,SP,3518107,6427
2022,SP,3518206,31043
2022,SP,3518305,31236
2022,SP,3518404,118044
2022,SP,3518503,15013
2022,SP,3518602,37498
2022,SP,3518701,287634
2022,SP,3518800,1291771
2022,SP,3518859,7320
2022,SP,3518909,4246
2022,SP,3519006,9125
2022,SP,3519055,15094
2022,SP,3519071,236641
2022,SP,3519105,10437
2022,SP,3519204,6131
2022,SP,3519253,8010
2022,SP,3519303,32178
2022,SP,3519402,11690
2022,SP,3519501,6385
2022,SP,3519600,60033
2022,SP,3519709,75605
2022,SP,3519808,7819
2022,SP,3519907,7619
2022,SP,3520004,23106
2022,SP,3520103,26212
2022,SP,3520202,10605
2022,SP,3520301,29115
2022,SP,3520400,34934
2022,SP,3520426,13419
2022,SP,3520442,25549
2022,SP,3520509,255748
2022,SP,3520608,5090
2022,SP,3520707,4035
2022,SP,3520806,3615
2022,SP,3520905,13712
2022,SP,3521002,36459
2022,SP,3521101,6831
2022,SP,3521150,6761
2022,SP,3521200,4046
2022,SP,3521309,14454
2022,SP,3521408,21967
2022,SP,3521507,6867
2022,SP,3521606,7085
2022,SP,3521705,17983
2022,SP,3521804,25180
2022,SP,3521903,16989
2022,SP,3522000,3618
2022,SP,3522109,112476
2022,SP,3522158,3422
2022,SP,3522208,158522
2022,SP,3522307,157790
2022,SP,3522406,89728
2022,SP,3522505,232297
2022,SP,3522604,72022
2022,SP,3522653,4306
2022,SP,3522703,39493
2022,SP,3522802,14085
2022,SP,3522901,13659
2022,SP,3523008,3979
2022,SP,3523107,369275
2022,SP,3523206,44438
2022,SP,3523305,15528
2022,SP,3523404,121590
2022,SP,3523503,19070
2022,SP,3523602,16148
2022,SP,3523701,5779
2022,SP,3523800,8046
2022,SP,3523909,168240
2022,SP,3524006,70616
2022,SP,3524105,37571
2022,SP,3524204,6221
2022,SP,3524303,71821
2022,SP,3524402,240275
2022,SP,3524501,7613
2022,SP,3524600,16097
2022,SP,3524709,59347
2022,SP,3524808,48776
2022,SP,3524907,6397
2022,SP,3525003,118045
2022,SP,3525102,45282
2022,SP,3525201,37535
2022,SP,3525300,133497
2022,SP,3525409,3863
2022,SP,3525508,12815
2022,SP,3525607,4371
2022,SP,3525706,36633
2022,SP,3525805,4254
2022,SP,3525854,3056
2022,SP,3525904,443221
2022,SP,3526001,20448
2022,SP,3526100,17154
2022,SP,3526209,27404
2022,SP,3526308,5083
2022,SP,3526407,26261
2022,SP,3526506,9689
2022,SP,3526605,7171
2022,SP,3526704,98161
2022,SP,3526803,66505
2022,SP,3526902,291869
2022,SP,3527009,7014
2022,SP,3527108,74779
2022,SP,3527207,84855
2022,SP,3527256,1950
2022,SP,3527306,51847
2022,SP,3527405,20061
2022,SP,3527504,2372
2022,SP,3527603,12265
2022,SP,3527702,4701
2022,SP,3527801,3981
2022,SP,3527900,2661
2022,SP,3528007,16829
2022,SP,3528106,7481
2022,SP,3528205,3963
2022,SP,3528304,3165
2022,SP,3528403,50027
2022,SP,3528502,93853
2022,SP,3528601,9871
2022,SP,3528700,4573
2022,SP,3528809,12673
2022,SP,3528858,3292
2022,SP,3528908,3513
2022,SP,3529005,237627
2022,SP,3529104,1860
2022,SP,3529203,24881
2022,SP,3529302,79033
2022,SP,3529401,418261
2022,SP,3529500,6159
2022,SP,3529609,4572
2022,SP,3529658,1952
2022,SP,3529708,19441
2022,SP,3529807,11230
2022,SP,3529906,18553
2022,SP,3530003,3126
2022,SP,3530102,27983
2022,SP,3530201,15917
2022,SP,3530300,63337
2022,SP,3530409,4669
2022,SP,3530508,67681
2022,SP,3530607,451505
2022,SP,3530706,153658
2022,SP,3530805,92558
2022,SP,3530904,3722
2022,SP,3531001,1937
2022,SP,3531100,61951
2022,SP,3531209,8627
2022,SP,3531308,47574
2022,SP,3531407,22280
2022,SP,3531506,18151
2022,SP,3531605,4222
2022,SP,3531704,4138
2022,SP,3531803,64662
2022,SP,3531902,27933
2022,SP,3532009,13720
2022,SP,3532058,4034
2022,SP,3532108,3737
2022,SP,3532157,2660
2022,SP,3532207,5713
2022,SP,3532306,6999
2022,SP,3532405,18217
2022,SP,3532504,9699
2022,SP,3532603,9852
2022,SP,3532702,4750
2022,SP,3532801,6693
2022,SP,3532827,8497
2022,SP,3532843,2032
2022,SP,3532868,1062
2022,SP,3532900,9311
2022,SP,3533007,19419
2022,SP,3533106,2156
2022,SP,3533205,4609
2022,SP,3533254,4412
2022,SP,3533304,2837
2022,SP,3533403,62019
2022,SP,3533502,38324
2022,SP,3533601,7391
2022,SP,3533700,4331
2022,SP,3533809,2512
2022,SP,3533908,55074
2022,SP,3534005,4771
2022,SP,3534104,6085
2022,SP,3534203,6024
2022,SP,3534302,38319
2022,SP,3534401,728615
2022,SP,3534500,2470
2022,SP,3534609,31272
2022,SP,3534708,103970
2022,SP,3534757,10294
2022,SP,3534807,7779
2022,SP,3534906,14877
2022,SP,3535002,11476
2022,SP,3535101,9650
2022,SP,3535200,8903
2022,SP,3535309,19594
2022,SP,3535408,14964
2022,SP,3535507,41120
2022,SP,3535606,17667
2022,SP,3535705,6099
2022,SP,3535804,19395
2022,SP,3535903,4031
2022,SP,3536000,10580
2022,SP,3536109,7153
2022,SP,3536208,19233
2022,SP,3536257,2892
2022,SP,3536307,14512
2022,SP,3536406,7955
2022,SP,3536505,110537
2022,SP,3536570,2090
2022,SP,3536604,7400
2022,SP,3536703,44827
2022,SP,3536802,6557
2022,SP,3536901,2787
2022,SP,3537008,15525
2022,SP,3537107,43112
2022,SP,3537156,2804
2022,SP,3537206,11281
2022,SP,3537305,61679
2022,SP,3537404,24095
2022,SP,3537503,8737
2022,SP,3537602,68352
2022,SP,3537701,5519
2022,SP,3537800,52970
2022,SP,3537909,27619
