 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.aprovada por Município
Período:Jan/2022-Jan/2025
"Município";"Qtd.aprovada"
"353790 PILAR DO SUL";1219121
"353800 PINDAMONHANGABA";10491346
"353810 PINDORAMA";371168
"353820 PINHALZINHO";1079006
"353830 PIQUEROBI";261405
"353850 PIQUETE";202761
"353860 PIRACAIA";745615
"353870 PIRACICABA";83268981
"353880 PIRAJU";895294
"353890 PIRAJUI";620882
"353900 PIRANGI";483161
"353910 PIRAPORA DO BOM JESUS";785779
"353920 PIRAPOZINHO";964492
"353930 PIRASSUNUNGA";3754906
"353940 PIRATININGA";699302
"353950 PITANGUEIRAS";2728482
"353960 PLANALTO";157649
"353970 PLATINA";217170
"353980 POA";4138841
"353990 POLONI";582035
"354000 POMPEIA";623118
"354010 PONGAI";108200
"354020 PONTAL";1241311
"354025 PONTALINDA";1868
"354030 PONTES GESTAL";50110
"354040 POPULINA";170936
"354050 PORANGABA";158557
"354060 PORTO FELIZ";4814668
"354070 PORTO FERREIRA";2125677
"354075 POTIM";468680
"354080 POTIRENDABA";716259
"354085 PRACINHA";31603
"354090 PRADOPOLIS";617897
"354100 PRAIA GRANDE";17911612
"354105 PRATANIA";95362
"354110 PRESIDENTE ALVES";165352
"354120 PRESIDENTE BERNARDES";625253
"354130 PRESIDENTE EPITACIO";1765101
"354140 PRESIDENTE PRUDENTE";52585296
"354150 PRESIDENTE VENCESLAU";2405746
"354160 PROMISSAO";1919927
"354165 QUADRA";103291
"354170 QUATA";627831
"354180 QUEIROZ";255735
"354190 QUELUZ";571362
"354200 QUINTANA";952590
"354210 RAFARD";336596
"354220 RANCHARIA";1699631
"354230 REDENCAO DA SERRA";122237
"354240 REGENTE FEIJO";498508
"354250 REGINOPOLIS";235507
"354260 REGISTRO";10019940
"354270 RESTINGA";123108
"354280 RIBEIRA";152512
"354290 RIBEIRAO BONITO";425016
"354300 RIBEIRAO BRANCO";415996
"354310 RIBEIRAO CORRENTE";256830
"354320 RIBEIRAO DO SUL";368387
"354323 RIBEIRAO DOS INDIOS";55199
"354325 RIBEIRAO GRANDE";36241
"354330 RIBEIRAO PIRES";5641531
"354340 RIBEIRAO PRETO";110359536
"354350 RIVERSUL";3298
"354360 RIFAINA";173844
"354370 RINCAO";243742
"354380 RINOPOLIS";646817
"354390 RIO CLARO";10817660
"354400 RIO DAS PEDRAS";1494417
"354410 RIO GRANDE DA SERRA";990696
"354420 RIOLANDIA";411963
"354425 ROSANA";870982
"354430 ROSEIRA";525849
"354440 RUBIACEA";169150
"354450 RUBINEIA";277745
"354460 SABINO";339871
"354470 SAGRES";45540
"354480 SALES";657016
"354490 SALES OLIVEIRA";314994
"354500 SALESOPOLIS";495303
"354515 SALTINHO";1467967
"354520 SALTO";4664618
"354530 SALTO DE PIRAPORA";1936972
"354540 SALTO GRANDE";540116
"354550 SANDOVALINA";67582
"354560 SANTA ADELIA";1107368
"354570 SANTA ALBERTINA";300952
"354580 SANTA BARBARA D'OESTE";9687899
"354600 SANTA BRANCA";341948
"354610 SANTA CLARA D'OESTE";40238
"354620 SANTA CRUZ DA CONCEICAO";205858
"354625 SANTA CRUZ DA ESPERANCA";108675
"354630 SANTA CRUZ DAS PALMEIRAS";1300823
"354640 SANTA CRUZ DO RIO PARDO";3327978
"354650 SANTA ERNESTINA";44713
"354660 SANTA FE DO SUL";4379169
"354670 SANTA GERTRUDES";1417225
"354680 SANTA ISABEL";2557610
"354690 SANTA LUCIA";319279
"354700 SANTA MARIA DA SERRA";355263
"354710 SANTA MERCEDES";287828
"354720 SANTANA DA PONTE PENSA";34119
"354730 SANTANA DE PARNAIBA";14081681
"354740 SANTA RITA D'OESTE";28647
"354750 SANTA RITA DO PASSA QUATRO";1268709
"354760 SANTA ROSA DE VITERBO";917430
"354765 SANTA SALETE";75787
"354770 SANTO ANASTACIO";673906
"354780 SANTO ANDRE";79498268
"354790 SANTO ANTONIO DA ALEGRIA";498762
"354800 SANTO ANTONIO DE POSSE";2552992
"354805 SANTO ANTONIO DO ARACANGUA";542249
"354810 SANTO ANTONIO DO JARDIM";377314
"354820 SANTO ANTONIO DO PINHAL";179764
"354830 SANTO EXPEDITO";19788
"354840 SANTOPOLIS DO AGUAPEI";472549
"354850 SANTOS";86176544
"354860 SAO BENTO DO SAPUCAI";216770
"354870 SAO BERNARDO DO CAMPO";82574964
"354880 SAO CAETANO DO SUL";26757484
"354890 SAO CARLOS";4112759
"354900 SAO FRANCISCO";42493
"354910 SAO JOAO DA BOA VISTA";52974328
"354920 SAO JOAO DAS DUAS PONTES";31896
"354925 SAO JOAO DE IRACEMA";64914
"354930 SAO JOAO DO PAU D'ALHO";139301
"354940 SAO JOAQUIM DA BARRA";4096330
"354950 SAO JOSE DA BELA VISTA";199479
"354960 SAO JOSE DO BARREIRO";242941
"354970 SAO JOSE DO RIO PARDO";3340876
"354980 SAO JOSE DO RIO PRETO";118442352
"354990 SAO JOSE DOS CAMPOS";91199548
"354995 SAO LOURENCO DA SERRA";681018
"355000 SAO LUIS DO PARAITINGA";107819
"355010 SAO MANUEL";1122014
"355020 SAO MIGUEL ARCANJO";2402183
"355030 SAO PAULO";1233023612
"355040 SAO PEDRO";4381605
"355050 SAO PEDRO DO TURVO";165172
"355060 SAO ROQUE";2736247
"355070 SAO SEBASTIAO";6715119
"355080 SAO SEBASTIAO DA GRAMA";882535
"355090 SAO SIMAO";1110603
"355100 SAO VICENTE";14352356
"355110 SARAPUI";862755
"355120 SARUTAIA";71673
"355130 SEBASTIANOPOLIS DO SUL";46737
"355140 SERRA AZUL";565474
"355150 SERRANA";2634325
"355160 SERRA NEGRA";1434432
"355170 SERTAOZINHO";5183878
"355180 SETE BARRAS";329796
"355190 SEVERINIA";449365
"355200 SILVEIRAS";111583
"355210 SOCORRO";626795
"355220 SOROCABA";130621690
"355230 SUD MENNUCCI";852828
"355240 SUMARE";8389699
"355250 SUZANO";15637699
"355255 SUZANAPOLIS";257824
"355260 TABAPUA";983681
"355270 TABATINGA";415551
"355280 TABOAO DA SERRA";17478392
"355290 TACIBA";104675
"355300 TAGUAI";1715457
"355310 TAIACU";215295
"355320 TAIUVA";197893
